brandOwner,brandName,packageWeight,serving_size_in_g,protein_in_g,fat_in_g,carbohydrate_in_g,energy_in_kcal,fiber_in_g,calcium_in_mg,iron_in_mg,sugars_added_in_g,cholesterol_in_g,milk,corn_syrup,artificial_flavor,vanilla,water,cream,dark_chocolate,palm_oil,lemon,salt,almonds,soy,coconut,pecans,hazelnuts,white_chocolate,honey,total_ingredients
Mars Chocolate North America LLC,DOVE,86.2,43.0,4.65,39.5,53.5,581.0,2.3,140.0,0.84,48.8,23.0,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,11.0
Mars Chocolate North America LLC,DOVE,643.5,31.0,6.45,32.3,58.1,516.0,6.5,0.0,2.58,45.2,16.0,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,29.0
"Vosges, Ltd.",VOSGES,85.0,28.0,7.14,46.4,39.3,500.0,10.7,36.0,16.8,21.4,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3.0
Lindt & Sprungli (Schweiz) AG,LINDT,50.0,50.0,12.0,52.0,24.0,560.0,2.0,82.0,8.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0
WILLIE'SCACAO LTD,WILLIE'SCACAO LTD,174.09684350978966,25.0,12.0,36.0,40.0,560.0,12.0,100.0,12.0,20.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,5.0
"Yowie North America, Inc.",YOWIE,336.0,28.0,7.14,32.1,58.9,264.0,0.0,186.0,1.8,55.4,18.0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,7.0
Power-Selles Imports,BLANXART,100.0,30.0,13.3,53.3,16.7,587.0,16.7,50.0,6.67,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
"International Marketing Systems, Inc.",BRUYERRE,200.0,28.0,3.57,46.4,50.0,643.0,3.6,143.0,6.07,50.0,36.0,True,False,False,True,True,True,False,True,True,True,True,True,True,False,True,True,False,81.0
"G. Debbas Chocolatier, Inc.",COCOA CRATE,34.0,34.0,5.88,35.3,58.8,529.0,2.9,118.0,1.06,52.9,15.0,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,16.0
Ferrara Candy Company,BRACH'S,70.0,35.0,5.71,28.6,65.7,543.0,2.9,114.0,4.11,57.1,0.0,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,8.0
Russell Stover Candies Inc.,RUSSELL STOVER,113.0,29.0,6.9,31.0,62.1,517.0,3.4,179.0,3.45,51.7,17.0,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,10.0
